เชียงใหม่ ,โรงแรม ความสูงเกินกว่า 5 ชั้นขึ้นไป ,10000 ,
เชียงใหม่ ,โรงมหรสพ ,7900 ,
เชียงใหม่ ,สถานพยาบาล ,9150 ,
เชียงใหม่ ,สำนักงาน ความสูงไม่เกิน 5 ชั้น ,7000 ,
เชียงใหม่ ,สำนักงาน ความสูงเกินกว่า 5 ชั้นขึ้นไป ,8950 ,
เชียงใหม่ ,ภัตตาคาร  ,6650 ,
เชียงใหม่ ,ห้างสรรพสินค้า ,9450 ,
เชียงใหม่ ,อาคารพาณิชยกรรม ประเภทค้าปลีกค้าส่ง ,7850 ,
เชียงใหม่ ,สถานีบริการน้ำมันเชื้อเพลิง ,5400 , พื้นที่อาคารและบริเวณหัวจ่าย
เชียงใหม่ ,โรงงาน ,6100 ,
เชียงใหม่ ,ตลาด พื้นที่ไม่เกิน 1000 ตารางเมตร  ,3600 , พื้นที่ของแต่ละอาคาร
เชียงใหม่ ,ตลาด พื้นที่เกินกว่า 1000 ตารางเมตรขึ้นไป  ,3700 , พื้นที่ของแต่ละอาคาร
เชียงใหม่ ,อาคารพาณิชย์ ประเภทโฮมออฟฟิศ ,9000 ,
เชียงใหม่ ,โรงงานซ่อมรถยนต์ ,5550 ,
ตรัง ,ประเภทบ้านเดี่ยว ,7200 ,
ตรัง ,ประเภทบ้านแถว (ทาวน์เฮาส์) ,7150 ,
ตรัง ,ประเภทห้องแถว ,6750 ,
ตรัง ,ประเภทตึกแถว ,7850 ,
ตรัง ,คลังสินค้า พื้นที่ไม่เกิน 300 ตารางเมตร ,5800 ,
ตรัง ,คลังสินค้า พื้นที่เกินกว่า 300 ตารางเมตรขึ้นไป ,3550 ,
ตรัง ,สถานศึกษา ,7350 ,
ตรัง ,โรงแรม ความสูงไม่เกิน 5 ชั้น ,9550 ,
ตรัง ,โรงแรม ความสูงเกินกว่า 5 ชั้นขึ้นไป ,10000 ,
ตรัง ,โรงมหรสพ ,8150 ,
ตรัง ,สถานพยาบาล ,9550 ,
ตรัง ,สำนักงาน ความสูงไม่เกิน 5 ชั้น ,7350 ,
ตรัง ,สำนักงาน ความสูงเกินกว่า 5 ชั้นขึ้นไป ,8450 ,
ตรัง ,ภัตตาคาร  ,6800 ,
ตรัง ,ห้างสรรพสินค้า ,9300 ,
ตรัง ,อาคารพาณิชยกรรม ประเภทค้าปลีกค้าส่ง ,8000 ,
ตรัง ,สถานีบริการน้ำมันเชื้อเพลิง ,5300 , พื้นที่อาคารและบริเวณหัวจ่าย
ตรัง ,โรงงาน ,5950 ,
ตรัง ,ตลาด พื้นที่ไม่เกิน 1000 ตารางเมตร  ,3700 , พื้นที่ของแต่ละอาคาร
